Timestamp,Location Name,Total Count,Car Count,Motorcycle Count
2026-02-06 20:16:37,CCTV Kebon Kawung Paskal,0,0,0
2026-02-06 20:16:19,Jl Sudirman Bandung,3,3,0
2026-02-06 20:16:06,Simpang buah Batu Bandung,5,5,0
2026-02-06 20:15:51,Pertigaan Waas Batununggal,7,7,0
2026-02-06 20:15:39,Fly Over Antapani,2,2,0
2026-02-06 20:15:26,SIMPANG TUGU KUJANG Kota Bogor,29,27,1
2026-02-06 20:15:11,Gedebage Arah GBLA,6,6,0
2026-02-06 20:14:56,Simpang Kordon,8,8,0
2026-02-06 20:14:42,Simpang Gedebage - Soekarno Hatta,9,9,0
2026-02-06 20:14:09,CCTV Kebon Kawung Paskal,0,0,0
2026-02-06 20:13:54,Jl Sudirman Bandung,5,5,0
2026-02-06 20:13:25,Fly Over Antapani,1,1,0
2026-02-06 20:13:12,Fly Over Kopo Leuwi Panjang,4,4,0
2026-02-06 20:12:59,Perempatan Laswi Gatsu Bandung,0,0,0
2026-02-06 20:12:46,Simpang Kordon,13,12,0
2026-02-06 20:12:33,Gedebage Arah GBLA,0,0,0
2026-02-06 20:12:18,Simpang Gedebage - Soekarno Hatta,4,4,0
2026-02-06 20:11:43,Jl Sudirman Bandung,2,2,0
2026-02-06 20:11:29,Simpang buah Batu Bandung,1,1,0
2026-02-06 20:11:15,Kircon Perempatan Binon Bandung,0,0,0
2026-02-06 20:11:02,SIMPANG TUGU KUJANG Kota Bogor,20,16,3
2026-02-06 20:10:47,Fly Over Antapani,2,2,0
2026-02-06 20:10:33,Simpang Braga,0,0,0
2026-02-06 20:10:19,Simpang Gedebage - Soekarno Hatta,11,11,0
2026-02-06 20:10:05,Pertigaan Waas Batununggal,11,11,0
2026-02-06 20:09:31,Simpang Garuda - Rajawali Bandung,1,1,0
2026-02-06 20:09:18,Jl Sudirman Bandung,4,4,0
2026-02-06 20:09:03,Simpang buah Batu Bandung,5,5,0
2026-02-06 20:08:50,Fly Over Kopo Leuwi Panjang,0,0,0
2026-02-06 20:08:35,Pertigaan Cicadas Bandung,5,5,0
2026-02-06 20:08:21,SIMPANG TUGU KUJANG Kota Bogor,39,31,7
2026-02-06 20:08:07,Simpang Braga,4,3,1
2026-02-06 20:07:53,Simpang Gedebage - Soekarno Hatta,8,8,0
2026-02-06 20:07:39,Gedebage Arah GBLA,7,7,0
2026-02-06 20:07:05,Jl Sudirman Bandung,4,4,0
2026-02-06 20:06:51,Gedebage Arah GBLA,2,2,0
2026-02-06 20:06:36,Perempatan PT Inti,3,3,0
2026-02-06 20:06:23,Fly Over Antapani,3,3,0
2026-02-06 20:06:09,SIMPANG TUGU KUJANG Kota Bogor,22,20,1
2026-02-06 20:05:53,Kircon Perempatan Binon Bandung,1,1,0
2026-02-06 20:05:39,Simpang Braga,8,7,1
2026-02-06 20:05:24,Pertigaan Waas Batununggal,9,9,0
2026-02-06 20:05:13,Simpang Kordon,2,2,0
2026-02-06 20:04:39,Simpang buah Batu Bandung,2,2,0
2026-02-06 20:04:25,Fly Over Kopo Leuwi Panjang,1,1,0
2026-02-06 20:04:11,Simpang Kordon,5,4,1
2026-02-06 20:03:57,SIMPANG TUGU KUJANG Kota Bogor,20,13,6
2026-02-06 20:03:41,Simpang Braga,5,5,0
2026-02-06 20:03:27,Perempatan Laswi Gatsu Bandung,1,1,0
2026-02-06 20:03:13,Gedebage Arah GBLA,4,4,0
2026-02-06 20:02:56,Pertigaan Waas Batununggal,2,2,0
2026-02-06 20:02:24,CCTV CICENDO Bandung,5,5,0
2026-02-06 20:02:08,Simpang Garuda - Rajawali Bandung,4,4,0
2026-02-06 20:01:54,Jl Sudirman Bandung,5,5,0
2026-02-06 20:01:41,Simpang buah Batu Bandung,2,2,0
2026-02-06 20:01:27,Fly Over Kopo Leuwi Panjang,2,2,0
2026-02-06 20:01:13,Simpang Braga,10,10,0
2026-02-06 20:00:59,Kircon Perempatan Binon Bandung,0,0,0
2026-02-06 20:00:46,Simpang Gedebage - Soekarno Hatta,1,1,0
2026-02-06 20:00:32,Perempatan Laswi Gatsu Bandung,0,0,0
2026-02-06 20:00:12,Simpang Kordon,15,15,0
2026-02-06 19:59:43,Simpang Garuda - Rajawali Bandung,4,4,0
2026-02-06 19:59:29,Gedebage Arah GBLA,14,14,0
2026-02-06 19:59:14,Persimpangan Sukahaji,1,1,0
2026-02-06 19:58:59,SIMPANG TUGU KUJANG Kota Bogor,33,24,8
2026-02-06 19:58:45,Perempatan PT Inti,1,1,0
2026-02-06 19:58:30,Fly Over Antapani,2,2,0
2026-02-06 19:58:16,Simpang Braga,5,5,0
2026-02-06 19:58:00,Simpang Gedebage - Soekarno Hatta,1,1,0
2026-02-06 19:57:46,Simpang Kordon,2,2,0
2026-02-06 19:57:11,Simpang Garuda - Rajawali Bandung,4,4,0
2026-02-06 19:56:57,Jl Sudirman Bandung,4,4,0
2026-02-06 19:56:42,Simpang buah Batu Bandung,1,1,0
2026-02-06 19:56:29,SIMPANG TUGU KUJANG Kota Bogor,37,30,6
2026-02-06 19:56:14,Pertigaan Cicadas Bandung,1,1,0
2026-02-06 19:56:00,Kircon Perempatan Binon Bandung,7,7,0
2026-02-06 19:55:46,Perempatan Laswi Gatsu Bandung,5,5,0
2026-02-06 19:55:33,Pertigaan Waas Batununggal,4,4,0
2026-02-06 19:55:21,Simpang Gedebage - Soekarno Hatta,15,15,0
2026-02-06 19:54:46,Jl Sudirman Bandung,3,3,0
2026-02-06 19:54:33,Simpang Gedebage - Soekarno Hatta,10,10,0
2026-02-06 19:54:19,Perempatan PT Inti,4,4,0
2026-02-06 19:54:04,SIMPANG TUGU KUJANG Kota Bogor,21,16,4
2026-02-06 19:53:49,Simpang Braga,1,1,0
2026-02-06 19:53:34,Pertigaan Cicadas Bandung,1,1,0
2026-02-06 19:53:21,Gedebage Arah GBLA,36,33,3
2026-02-06 19:53:04,Kircon Perempatan Binon Bandung,0,0,0
2026-02-06 19:52:49,Simpang Kordon,1,1,0
2026-02-06 19:52:13,Jl Pungkur Bandung,0,0,0
2026-02-06 19:51:58,Pertigaan Cijerah Bandung,1,1,0
2026-02-06 19:51:45,Simpang Garuda - Rajawali Bandung,4,4,0
2026-02-06 19:51:31,Persimpangan Sukahaji,1,1,0
2026-02-06 19:51:17,Gedebage Arah GBLA,1,1,0
2026-02-06 19:51:01,SIMPANG TUGU KUJANG Kota Bogor,43,38,4
2026-02-06 19:50:45,Fly Over Kopo Leuwi Panjang,9,9,0
2026-02-06 19:50:31,Pertigaan Cicadas Bandung,10,10,0
2026-02-06 19:50:16,Simpang Braga,5,5,0
2026-02-06 19:50:02,Simpang Kordon,12,10,1
2026-02-06 19:49:28,Simpang Garuda - Rajawali Bandung,0,0,0
2026-02-06 19:49:12,CCTV Kebon Kawung Paskal,0,0,0
2026-02-06 19:48:56,SIMPANG TUGU KUJANG Kota Bogor,30,27,3
2026-02-06 19:48:41,Persimpangan Sukahaji,10,10,0
2026-02-06 19:48:28,Perempatan PT Inti,3,1,1
2026-02-06 19:48:14,Pertigaan Cicadas Bandung,1,1,0
2026-02-06 19:47:59,Gedebage Arah GBLA,16,16,0
2026-02-06 19:47:45,Simpang Kordon,15,12,2
2026-02-06 19:47:32,Perempatan Laswi Gatsu Bandung,4,4,0
2026-02-06 19:47:18,Fly Over Antapani,1,1,0
2026-02-06 19:46:45,Jl Citarum Bandung,2,1,1
2026-02-06 19:46:31,CCTV Laswi - Sukabumi Bandung,10,10,0
2026-02-06 19:46:17,Jl Pungkur Bandung,0,0,0
2026-02-06 19:46:04,Sudirman Otista,9,7,1
2026-02-06 19:45:50,Simpang Garuda - Rajawali Bandung,2,2,0
2026-02-06 19:45:37,Jl Sudirman Bandung,11,9,1
2026-02-06 19:45:23,Perempatan PT Inti,2,2,0
2026-02-06 19:45:10,Kircon Perempatan Binon Bandung,1,1,0
2026-02-06 19:44:57,Gedebage Arah GBLA,17,17,0
2026-02-06 19:44:42,Perempatan Laswi Gatsu Bandung,6,6,0
2026-02-06 19:44:29,Simpang Gedebage - Soekarno Hatta,15,15,0
2026-02-06 19:43:57,Simpang Pajajaran,4,2,1
2026-02-06 19:43:44,Simpang Gedebage - Soekarno Hatta,4,4,0
2026-02-06 19:43:31,Persimpangan Sukahaji,8,8,0
2026-02-06 19:43:16,Fly Over Kopo Leuwi Panjang,10,10,0
2026-02-06 19:43:02,Fly Over Antapani,9,7,1
2026-02-06 19:42:48,SIMPANG TUGU KUJANG Kota Bogor,30,28,1
2026-02-06 19:42:33,Kircon Perempatan Binon Bandung,0,0,0
2026-02-06 19:42:19,Simpang Braga,6,6,0
2026-02-06 19:42:05,Perempatan Laswi Gatsu Bandung,0,0,0
2026-02-06 19:41:32,Simpang Garuda - Rajawali Bandung,5,5,0
2026-02-06 19:41:18,Jl Sudirman Bandung,13,9,3
2026-02-06 19:41:04,Simpang buah Batu Bandung,7,4,2
2026-02-06 19:40:51,Simpang Kordon,6,6,0
2026-02-06 19:40:37,Fly Over Antapani,6,6,0
2026-02-06 19:40:24,Simpang Braga,8,8,0
