epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.088,1.50333,3.79114,1.09446,0.00681,0.23333,0.03881,0.02205,1.37557,3.53257,0.97234,8.335e-05,8.335e-05,8.335e-05
2,49.7437,1.49538,3.41396,1.05908,0.01245,0.47619,0.0795,0.04793,1.35714,3.48144,0.96448,0.000165216,0.000165216,0.000165216
3,80.4669,1.54517,2.84766,1.0213,0.01455,0.54286,0.1969,0.12948,1.3666,3.36903,0.95836,0.000227279,0.000227279,0.000227279
4,96.9007,1.56286,2.26628,1.00728,0.01529,0.54286,0.32341,0.20375,1.41349,3.25565,0.96786,0.000269537,0.000269537,0.000269537
5,122.517,1.54279,1.67146,1.00329,0.01586,0.54286,0.34964,0.22723,1.41183,3.09197,0.96932,0.000291992,0.000291992,0.000291992
6,145.086,1.56053,1.65705,1.07266,1,0.13316,0.44717,0.25281,1.4651,2.87642,0.99025,0.000294642,0.000294642,0.000294642
7,172.632,1.44169,1.54013,1.02048,1,0.16657,0.48924,0.27192,1.47003,2.64739,1.00272,0.000277489,0.000277489,0.000277489
8,194.47,1.41135,1.55218,0.98758,1,0.16657,0.48924,0.27192,1.47003,2.64739,1.00272,0.000240531,0.000240531,0.000240531
9,226.15,1.40172,1.47907,1.02327,0.98608,0.26667,0.49488,0.28084,1.50574,2.46807,1.02608,0.00018377,0.00018377,0.00018377
10,256.604,1.46738,1.51886,1.01333,0.90133,0.27155,0.53516,0.32731,1.45462,2.28583,1.01913,0.000107205,0.000107205,0.000107205
