epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.2242,1.57383,3.64569,1.14291,0.01004,0.36688,0.01742,0.00698,1.59925,3.53847,1.04795,0.00010002,0.00010002,0.00010002
2,63.4405,1.59138,3.27154,1.05854,0.01444,0.50974,0.24631,0.1527,1.60882,3.43392,1.00746,0.000214028,0.000214028,0.000214028
3,105.306,1.58857,2.58725,1.04246,0.01475,0.47403,0.37952,0.22169,1.51974,3.28822,0.98323,0.000325148,0.000325148,0.000325148
4,132.457,1.63918,1.86857,1.07348,0.11052,0.42857,0.38639,0.22049,1.52188,3.1025,0.98543,0.00043338,0.00043338,0.00043338
5,160.881,1.57141,1.54701,1.04779,0.89444,0.40078,0.53841,0.27984,1.6641,2.48404,1.05198,0.000538724,0.000538724,0.000538724
6,191.221,1.51563,1.62649,1.07558,0.89914,0.42857,0.55932,0.29504,1.67027,2.14323,1.08548,0.00064118,0.00064118,0.00064118
7,228.084,1.5024,1.48757,1.04694,0.89914,0.42857,0.55932,0.29504,1.67027,2.14323,1.08548,0.000740748,0.000740748,0.000740748
8,259.189,1.44225,1.49752,1.0464,0.91127,0.42857,0.56086,0.32188,1.58859,1.92678,1.12997,0.000837428,0.000837428,0.000837428
9,296.268,1.525,1.42406,1.09384,0.83591,0.42857,0.6802,0.40128,1.56569,1.90654,1.05782,0.00093122,0.00093122,0.00093122
10,326.125,1.54227,1.38415,1.06623,0.83591,0.42857,0.6802,0.40128,1.56569,1.90654,1.05782,0.00102212,0.00102212,0.00102212
11,350.48,1.47139,1.34901,1.03005,0.8744,0.57468,0.70834,0.40929,1.48829,1.9349,1.02326,0.00111014,0.00111014,0.00111014
12,384.444,1.47112,1.3403,1.05996,0.8744,0.57468,0.70834,0.40929,1.48829,1.9349,1.02326,0.00119527,0.00119527,0.00119527
13,419.482,1.51296,1.34559,1.09336,0.82548,0.51141,0.7446,0.4822,1.31772,1.85178,1.00041,0.00127751,0.00127751,0.00127751
14,452.271,1.46797,1.39904,1.06893,0.82548,0.51141,0.7446,0.4822,1.31772,1.85178,1.00041,0.00135686,0.00135686,0.00135686
15,483.562,1.42825,1.28562,1.06367,0.77158,0.49824,0.68959,0.44278,1.46098,1.86986,1.14132,0.00137819,0.00137819,0.00137819
16,515.081,1.44261,1.24819,1.05462,0.77158,0.49824,0.68959,0.44278,1.46098,1.86986,1.14132,0.00135756,0.00135756,0.00135756
17,545.102,1.39695,1.24089,1.08445,0.73871,0.57177,0.66152,0.40455,1.4791,1.88287,1.16653,0.00133693,0.00133693,0.00133693
18,576.532,1.39639,1.18415,1.04594,0.73871,0.57177,0.66152,0.40455,1.4791,1.88287,1.16653,0.0013163,0.0013163,0.0013163
19,603.593,1.39064,1.22307,1.06231,0.73871,0.57177,0.66152,0.40455,1.4791,1.88287,1.16653,0.00129568,0.00129568,0.00129568
20,639.264,1.37951,1.25335,1.04926,0.77657,0.64479,0.71435,0.48565,1.46413,1.70109,1.17263,0.00127505,0.00127505,0.00127505
21,666.75,1.4263,1.25298,1.07208,0.77657,0.64479,0.71435,0.48565,1.46413,1.70109,1.17263,0.00125442,0.00125442,0.00125442
22,698.037,1.3803,1.24021,1.07097,0.79083,0.67862,0.70378,0.44495,1.53504,1.60526,1.19367,0.00123379,0.00123379,0.00123379
23,726.98,1.39031,1.19829,1.04184,0.79083,0.67862,0.70378,0.44495,1.53504,1.60526,1.19367,0.00121316,0.00121316,0.00121316
24,758.479,1.39777,1.25691,1.09324,0.72395,0.74782,0.73622,0.45923,1.5529,1.38195,1.19089,0.00119253,0.00119253,0.00119253
25,789.832,1.33702,1.20078,1.06723,0.72395,0.74782,0.73622,0.45923,1.5529,1.38195,1.19089,0.0011719,0.0011719,0.0011719
26,824.744,1.34611,1.19063,1.04836,0.80161,0.75028,0.74552,0.45528,1.56817,1.29027,1.16557,0.00115127,0.00115127,0.00115127
27,856.37,1.30285,1.11975,1.02647,0.80161,0.75028,0.74552,0.45528,1.56817,1.29027,1.16557,0.00113064,0.00113064,0.00113064
28,891.133,1.32665,1.06953,1.04723,0.80161,0.75028,0.74552,0.45528,1.56817,1.29027,1.16557,0.00111001,0.00111001,0.00111001
29,920.6,1.29918,1.14367,0.99613,0.62368,0.81051,0.73976,0.42036,1.64212,1.33026,1.16796,0.00108938,0.00108938,0.00108938
30,956.583,1.29117,1.05183,1.01845,0.62368,0.81051,0.73976,0.42036,1.64212,1.33026,1.16796,0.00106876,0.00106876,0.00106876
31,984.192,1.29646,1.08331,1.03553,0.61201,0.79221,0.69275,0.39431,1.63509,1.40106,1.18677,0.00104813,0.00104813,0.00104813
32,1016.18,1.27043,1.06044,1.00698,0.61201,0.79221,0.69275,0.39431,1.63509,1.40106,1.18677,0.0010275,0.0010275,0.0010275
33,1047.19,1.30334,1.06247,1.04007,0.58918,0.82792,0.68553,0.39498,1.63479,1.48562,1.18593,0.00100687,0.00100687,0.00100687
34,1079.4,1.26539,1.01466,1.03847,0.58918,0.82792,0.68553,0.39498,1.63479,1.48562,1.18593,0.000986239,0.000986239,0.000986239
35,1108.39,1.26294,1.03516,1.0066,0.58918,0.82792,0.68553,0.39498,1.63479,1.48562,1.18593,0.00096561,0.00096561,0.00096561
36,1138.31,1.28835,1.08082,1.05045,0.65897,0.81331,0.67812,0.43317,1.55244,1.43724,1.16866,0.000944981,0.000944981,0.000944981
37,1157.13,1.22191,0.99304,1.00593,0.65897,0.81331,0.67812,0.43317,1.55244,1.43724,1.16866,0.000924352,0.000924352,0.000924352
38,1179.41,1.25115,0.98914,1.00098,0.67909,0.87338,0.69081,0.43849,1.4944,1.33328,1.12824,0.000903722,0.000903722,0.000903722
39,1207.4,1.23301,0.96479,0.94706,0.67909,0.87338,0.69081,0.43849,1.4944,1.33328,1.12824,0.000883093,0.000883093,0.000883093
40,1237.66,1.19985,0.98601,1.02417,0.68434,0.83766,0.73423,0.44074,1.54997,1.37238,1.13097,0.000862464,0.000862464,0.000862464
41,1265.07,1.28651,1.09705,1.02856,0.68434,0.83766,0.73423,0.44074,1.54997,1.37238,1.13097,0.000841835,0.000841835,0.000841835
42,1295.98,1.2514,0.96277,0.9874,0.71441,0.83766,0.73346,0.38644,1.60003,1.38615,1.12109,0.000821206,0.000821206,0.000821206
43,1323.64,1.21856,0.98563,1.00337,0.71441,0.83766,0.73346,0.38644,1.60003,1.38615,1.12109,0.000800577,0.000800577,0.000800577
44,1356.72,1.18904,0.94808,0.98821,0.71441,0.83766,0.73346,0.38644,1.60003,1.38615,1.12109,0.000779948,0.000779948,0.000779948
45,1379.99,1.27154,0.96859,1.02078,0.72538,0.79221,0.74676,0.41407,1.57759,1.34363,1.11834,0.000759318,0.000759318,0.000759318
46,1410.59,1.18853,0.89994,0.98889,0.72538,0.79221,0.74676,0.41407,1.57759,1.34363,1.11834,0.000738689,0.000738689,0.000738689
47,1445.32,1.20914,0.9481,0.99745,0.69352,0.78233,0.73563,0.43854,1.54159,1.3203,1.13084,0.00071806,0.00071806,0.00071806
48,1476.18,1.20415,0.93017,0.97109,0.69352,0.78233,0.73563,0.43854,1.54159,1.3203,1.13084,0.000697431,0.000697431,0.000697431
49,1520.25,1.19616,0.98072,0.9608,0.63052,0.76792,0.68523,0.43866,1.48016,1.40211,1.1305,0.000676802,0.000676802,0.000676802
50,1553.82,1.23027,1.03266,1.03047,0.63052,0.76792,0.68523,0.43866,1.48016,1.40211,1.1305,0.000656173,0.000656173,0.000656173
51,1586.45,1.16721,0.91689,0.95697,0.63052,0.76792,0.68523,0.43866,1.48016,1.40211,1.1305,0.000635544,0.000635544,0.000635544
52,1612.15,1.13694,0.97644,0.98109,0.58543,0.68506,0.6733,0.44109,1.47238,1.50123,1.13972,0.000614915,0.000614915,0.000614915
53,1646.67,1.17779,0.90913,0.971,0.58543,0.68506,0.6733,0.44109,1.47238,1.50123,1.13972,0.000594286,0.000594286,0.000594286
54,1678.4,1.16592,0.87002,0.95437,0.57146,0.65909,0.68859,0.44257,1.45913,1.54493,1.14502,0.000573656,0.000573656,0.000573656
55,1716.61,1.18357,0.88904,0.97324,0.57146,0.65909,0.68859,0.44257,1.45913,1.54493,1.14502,0.000553027,0.000553027,0.000553027
56,1748.87,1.21301,0.92554,0.97789,0.57252,0.61628,0.68301,0.43993,1.45131,1.54376,1.16325,0.000532398,0.000532398,0.000532398
57,1774.86,1.10817,0.85071,0.97102,0.57252,0.61628,0.68301,0.43993,1.45131,1.54376,1.16325,0.000511769,0.000511769,0.000511769
58,1806.7,1.20811,0.91316,0.98565,0.55594,0.65115,0.68922,0.45497,1.46703,1.55646,1.18228,0.00049114,0.00049114,0.00049114
59,1838.96,1.12779,0.85095,0.95888,0.55594,0.65115,0.68922,0.45497,1.46703,1.55646,1.18228,0.000470511,0.000470511,0.000470511
60,1871,1.20473,0.9497,1.02893,0.55594,0.65115,0.68922,0.45497,1.46703,1.55646,1.18228,0.000449882,0.000449882,0.000449882
61,1901.45,1.16145,0.88865,0.96787,0.51016,0.65909,0.67702,0.44752,1.47285,1.55267,1.19967,0.000429253,0.000429253,0.000429253
62,1933.95,1.10857,0.8402,0.97344,0.51016,0.65909,0.67702,0.44752,1.47285,1.55267,1.19967,0.000408623,0.000408623,0.000408623
63,1964.57,1.13915,0.83042,0.96436,0.53135,0.69526,0.66686,0.44115,1.44449,1.55464,1.19016,0.000387994,0.000387994,0.000387994
64,1996.13,1.17282,0.92515,0.9943,0.53135,0.69526,0.66686,0.44115,1.44449,1.55464,1.19016,0.000367365,0.000367365,0.000367365
65,2022.51,1.17969,0.90593,0.96326,0.54407,0.66192,0.66819,0.43689,1.44835,1.56031,1.1771,0.000346736,0.000346736,0.000346736
66,2050.96,1.10625,0.85865,0.98256,0.54407,0.66192,0.66819,0.43689,1.44835,1.56031,1.1771,0.000326107,0.000326107,0.000326107
67,2079.07,1.08936,0.89328,0.96069,0.54407,0.66192,0.66819,0.43689,1.44835,1.56031,1.1771,0.000305478,0.000305478,0.000305478
68,2106.55,1.10966,0.85476,0.95452,0.5371,0.64711,0.64931,0.4124,1.46282,1.57969,1.17652,0.000284849,0.000284849,0.000284849
69,2135.79,1.09717,0.83185,0.97008,0.5371,0.64711,0.64931,0.4124,1.46282,1.57969,1.17652,0.00026422,0.00026422,0.00026422
70,2164.76,1.1325,0.8651,0.97261,0.69399,0.49675,0.6665,0.41563,1.45968,1.57611,1.16681,0.00024359,0.00024359,0.00024359
71,2194.44,1.11367,0.9921,0.97295,0.69399,0.49675,0.6665,0.41563,1.45968,1.57611,1.16681,0.000222961,0.000222961,0.000222961
72,2232.23,1.13432,1.13263,0.95213,0.69107,0.49675,0.65473,0.41497,1.47433,1.55164,1.16992,0.000202332,0.000202332,0.000202332
73,2264.89,1.1083,0.98458,0.96954,0.69107,0.49675,0.65473,0.41497,1.47433,1.55164,1.16992,0.000181703,0.000181703,0.000181703
74,2302.11,1.08215,0.94568,0.96996,0.52179,0.66289,0.62663,0.39358,1.46651,1.54705,1.16185,0.000161074,0.000161074,0.000161074
75,2362.31,1.06797,0.89455,0.93337,0.52179,0.66289,0.62663,0.39358,1.46651,1.54705,1.16185,0.000140445,0.000140445,0.000140445
76,2390.28,1.05458,0.91231,0.95924,0.52179,0.66289,0.62663,0.39358,1.46651,1.54705,1.16185,0.000119816,0.000119816,0.000119816
77,2414.05,1.04251,0.91254,0.9342,0.5249,0.66541,0.62501,0.39938,1.45943,1.53779,1.14728,9.91865e-05,9.91865e-05,9.91865e-05
78,2438.87,1.02976,0.95405,0.91588,0.5249,0.66541,0.62501,0.39938,1.45943,1.53779,1.14728,7.85574e-05,7.85574e-05,7.85574e-05
79,2462.45,1.0403,0.92561,0.95504,0.51051,0.66417,0.61986,0.39312,1.45593,1.53172,1.14487,5.79283e-05,5.79283e-05,5.79283e-05
80,2491.12,1.04801,0.90867,0.94402,0.51051,0.66417,0.61986,0.39312,1.45593,1.53172,1.14487,3.72991e-05,3.72991e-05,3.72991e-05
